title,preview
"Heat and Dust Help Launch Martian Water Into Space, Scientists Find","Scientists using an instrument aboard NASA’s Mars Atmosphere and Volatile EvolutioN, or MAVEN, spacecraft have discovered that water vapor near the surface of the Red Planet is lofted higher into the atmosphere than anyone expected was possible. "
Newfound Martian Aurora Actually the Most Common; Sheds Light on Mars' Changing Climate,"A type of Martian aurora first identified by NASA’s MAVEN spacecraft in 2016 is actually the most common form of aurora occurring on the Red Planet, according to new results from the mission."
NASA's Perseverance Rover Will Carry First Spacesuit Materials to Mars,"In a Q&A, spacesuit designer Amy Ross explains how five samples, including a piece of helmet visor, will be tested aboard the rover, which is targeting a July 30 launch. "
6 Things to Know About NASA's Ingenuity Mars Helicopter,The first helicopter attempting to fly on another planet is a marvel of engineering. Get up to speed with these key facts about its plans.
Mars 2020 Unwrapped and Ready for More Testing,"In time-lapse video, bunny-suited engineers remove the inner layer of protective foil on NASA's Mars 2020 rover after it was relocated for testing."
5 Hidden Gems Are Riding Aboard NASA's Perseverance Rover,"The symbols, mottos, and small objects added to the agency's newest Mars rover serve a variety of purposes, from functional to decorative."
NASA's Curiosity Rover Finds an Ancient Oasis on Mars,"New evidence suggests salty, shallow ponds once dotted a Martian crater — a sign of the planet's drying climate."
The Detective Aboard NASA's Perseverance Rover,"An instrument called SHERLOC will, with the help of its partner WATSON, hunt for signs of ancient life by detecting organic molecules and minerals."
NASA's MAVEN Observes Martian Night Sky Pulsing in Ultraviolet Light,"Vast areas of the Martian night sky pulse in ultraviolet light, according to images from NASA’s MAVEN spacecraft. The results are being used to illuminate complex circulation patterns in the Martian atmosphere."
Nine Finalists Chosen in NASA's Mars 2020 Rover Naming Contest,Nine finalists have been chosen in the essay contest for K-12 students across U.S. to name NASA's next Mars rover. Now you can help by voting for your favorite. 
"NASA Wins 4 Webbys, 4 People's Voice Awards","Winners include the JPL-managed ""Send Your Name to Mars"" campaign, NASA's Global Climate Change website and Solar System Interactive."
MOXIE Could Help Future Rockets Launch Off Mars,"NASA's Perseverance rover carries a device to convert Martian air into oxygen that, if produced on a larger scale, could be used not just for breathing, but also for fuel."
Scientists Explore Outback as Testbed for Mars ,Australia provides a great place for NASA's Mars 2020 and the ESA-Roscosmos ExoMars scientists to hone techniques in preparation for searching for signs ancient life on Mars.
NASA's MAVEN Explores Mars to Understand Radio Interference at Earth,NASA’s MAVEN spacecraft has discovered “layers” and “rifts” in the electrically charged part of the upper atmosphere of Mars.
"What's Mars Solar Conjunction, and Why Does It Matter?","NASA spacecraft at Mars are going to be on their own for a few weeks when the Sun comes between Mars and Earth, interrupting communications."
